"alpha","beta","gamma","nu"
"1","0.560673413163724","0.398261281459144","-1.00404981722423","0.383437882649174"
"2","0.806181863921625","0.398725789159175","0.281100306139591","-1.28042064549126"
"3","1.49659529836792","1.49338718812065","0.346285817192579","0.952222790137732"
"4","0.523907186929332","0.482331739074739","0.611500667278917","0.784648409858194"
"5","0.0861059658646013","-1.11986526353936","-0.13201010635637","-0.165403248824473"
"6","-1.28370122300007","-0.384834908086025","0.586458779189552","-0.17328477735794"
"7","1.01558972834134","-1.10241103674064","1.32965443725354","0.274310761866204"
"8","-0.0698379845737317","0.351067802570801","0.823891496671559","0.286256653553571"
"9","-1.21175654548703","0.313580147552699","0.178762196663179","0.955639939855867"
"10","-0.277404257356693","0.931614890990576","2.05080518572842","1.05038060065096"
"11","1.00355507757971","-1.63710233522324","1.30910848442147","0.899544132703215"
"12","0.613580981806693","-0.257099916235718","0.764519149713659","-0.59020014694044"
"13","-0.142585722098865","0.366281194933152","0.743992357478444","0.720395211165776"
"14","1.41304988424891","-1.17665629235717","1.98595743307281","2.48362451842967"
"15","1.03044058407460","-1.21840640991205","-0.783759213201465","-1.66222729740664"
"16","-0.87454803923943","0.396984916979036","1.70218986529769","-0.988379151077556"
"17","-1.67342248251555","-0.506980241831939","0.197915482258562","-0.283816260266954"
"18","0.805328518460681","-0.078310394557335","0.649182048769928","-0.308201775013062"
"19","-0.730139852071152","0.363535924323753","0.442983905538974","-0.193788450951892"
"20","1.29869879092588","-0.0319029880583713","-0.95115325510548","-2.16508587016844"
"21","-0.957231495350776","-1.56519183784287","-0.890632174838358","0.193468927180086"
"22","-0.72516551569811","-1.44616272815495","-0.81388602774976","-2.43929665837454"
"23","-0.242808257865389","1.02639141880955","0.353310729603109","0.686775067886309"
"24","-0.72782410204885","-0.393829238149437","-1.09267271466682","-2.72537759732804"
"25","-0.502272057012342","-0.95907734451419","-1.51056046258671","-2.11048939171344"
"26","-1.78882924480673","1.00446364939288","-0.0619097070715527","-1.26256161665171"
"27","1.85277836899815","-0.437149132190397","1.09569646602636","1.47838986230753"
"28","1.92049819341935","-0.145094167254231","1.42434563051539","0.165703342358454"
"29","0.199416808142793","-0.858196864600207","-0.275812110109187","-0.00102676448120903"
"30","-1.14367988053992","2.41682593631117","1.29209722742411","0.608071481704922"
"31","0.751865523835455","0.693307126253015","-1.30118282824988","-0.437832283008154"
"32","1.24691914694367","-0.301818425550831","1.71570130226843","0.828778993936451"
"33","-0.447222578493648","-0.768541056385434","0.861675170177362","1.76528886045798"
"34","0.506629227401813","-0.229980708686021","-0.78004073397881","0.129644442812668"
"35","0.338826870668216","-0.962342518914823","-1.21786000423141","-0.459947373712245"
"36","0.481236834496489","-0.449319956562791","-0.99138911328049","-1.00237872734357"
"37","-0.150073056290445","-0.41407009154527","0.730538551447372","-1.03114457959987"
"38","-1.77256594194698","0.168853125612882","-0.465479782451203","-1.20078550358532"
"39","1.26491201496524","0.128967942753259","0.0733289464992784","2.82848044177041"
"40","-1.39018433645719","0.890976055701472","-0.495644773007874","-0.758091583562169"
"41","-1.59020259177042","-1.48260149694368","-0.62124332601487","-0.674055270724882"
