"alpha","beta","gamma","nu"
"1","-0.248249203760974","1.06270183553542","0.310543816343434","0.287248083372634"
"2","-1.08032699010634","-0.713515685231761","0.101777160421528","-1.56540614814887"
"3","-1.84385427761246","-0.487512124429729","0.140351643417419","-1.86530349435566"
"4","1.86977006845556","0.190896350960748","-0.474750153331633","0.44852253378815"
"5","0.859532384278163","-0.0235665483673303","0.725322641995131","0.748080114049347"
"6","0.82872580105149","-1.35641801976413","-0.586122371973226","1.30087749300696"
"7","-0.440347582432423","-0.364987101478584","0.26882493753144","-0.0273860738370809"
"8","-1.93192131415908","1.83204690616970","0.900974027283885","-0.0626702227558035"
"9","-0.985949983848045","-0.0809073854572195","1.78846590337097","-1.88270260440924"
"10","0.560058223959934","1.48380554905837","-0.331145959618618","-0.814337495487074"
"11","-0.781790620741636","-0.858105039950539","-0.425164754816833","-1.84635767214206"
"12","1.87884767530144","-1.81530296992382","-0.379662331548101","-0.911173267161651"
"13","1.19816062364563","0.63317984835921","-0.370522374712362","-0.751892521071038"
"14","0.0440499794773263","-0.237319133125717","0.0686999192088116","0.146034893235013"
"15","-0.196146697827244","0.746955202701757","-2.50877580384824","0.152524538197385"
"16","1.70177611755986","0.365887981013252","0.99699766876341","0.827705864378595"
"17","-1.6725167299038","2.30972690638227","-0.885666958006991","-0.592796294305819"
"18","-0.7264689332776","-2.16582727557843","-1.41195688052086","-1.90713723098751"
"19","-1.61804355980659","0.40568309579138","2.38487423391183","1.31766971144385"
"20","0.864222622761639","-0.673987715774066","-0.0559774777741549","-0.06092206429558"
"21","1.07258269957082","1.64612598310334","-0.780601714477767","1.82983552346879"
"22","-1.52308026085191","-0.622146263039071","-0.999671541337933","-1.57605531015183"
"23","-1.01468676784723","-0.451801454950668","0.867482256340076","0.145791616835125"
"24","-0.363421825220366","0.452808675035016","-0.306433565318578","-0.384888718876352"
"25","-0.168554953570066","-1.79755644922153","1.11078777844164","0.279955305977623"
"26","0.0884962486120538","0.0486831567715789","-0.142483737761661","-1.06607785264505"
"27","1.31346740225793","0.0724360890502325","0.238083251990101","1.25492531166045"
"28","-0.0189475635783287","-1.02564032814694","-0.173056143989505","-0.126653842262663"
"29","2.40875600554421","-0.041631150697696","-0.865145751014705","-1.37196510500691"
"30","-0.626336767527482","-1.12936049019075","1.02091315747013","-1.75979835540296"
"31","-1.48498770832483","-0.0529096088496104","-2.03314547993506","-1.70440713023250"
"32","1.07808970320749","1.10514484645885","0.315727721874389","-0.635495145154107"
"33","-0.115122793443973","1.39002619858889","0.307143809397237","-0.649470509380744"
"34","0.514873966066468","-0.25864297233206","-1.10168326938487","-0.415730058934309"
"35","1.59362977419916","-0.550861990082388","-1.24764299954069","0.157002464991162"
"36","0.842733673133512","-0.838283197727585","-0.60274090367741","-2.11648381238262"
"37","-0.303644492355681","1.16269874221290","-0.567499149697244","-0.194850086446992"
"38","0.956653428957458","-1.19588638139576","1.69422527553246","-0.0374985527289805"
"39","0.100153492218322","-0.936874441437352","-0.00149101762577984","-0.946092452990102"
"40","0.830972345945588","-0.694274064628576","1.09842623370337","1.20076239111206"
"41","-0.224537570392771","-1.37125121354364","-1.28992932661597","0.649212106035955"
"42","0.585927087914834","-0.088412520727196","-0.665726059609698","-0.692313353851354"
"43","-0.190741305437619","0.949797161297198","-0.0256022687315653","-1.53143581021792"
"44","0.249395102425045","0.122142755285573","-0.0863057693293077","-0.916433396158074"
"45","1.25500780045123","0.560501825959532","-0.110898108213431","0.741321658709211"
"46","-0.512972194101411","-0.660858681541399","-0.135892963606800","-1.02483228518226"
"47","0.0983342869727714","-0.0236863329827774","2.02890149556911","-0.112713565940205"
"48","-0.951188728869606","0.165296272312212","0.612067258160573","-1.33372992524685"
"49","1.01343418682545","0.677623080922973","-0.591065669179541","-0.78114687525292"
"50","-0.194656781789460","0.0562257905143452","1.22325501138933","0.585947115753629"
"51","0.595265801291235","-1.01862668514446","1.02095284234915","1.85723428044894"
"52","0.267150539892978","0.635205118538153","0.653258949432043","0.385485530050461"
"53","1.35536721850565","-1.02862732898202","-0.685152529612056","-1.01135276191704"
"54","-2.08515070306672","-0.164334397486519","-2.43499579811395","-0.624335353047792"
"55","0.174892967975293","0.271913855644987","0.150664151565468","-2.76784886342697"
"56","0.334274806812628","1.18563844994312","-0.00578944492173464","2.56355293376932"
"57","-0.390412495936872","-0.894977155559555","2.09028441478210","1.73698039727971"
"58","0.0366074278578862","0.879352949909787","0.367896748754625","0.821553516818946"
"59","-0.584652775670189","1.97131125350593","-1.46218198345996","-0.305274760601437"
"60","1.00970118756083","-0.964356919855812","-0.55410321492886","-0.191218551320718"
"61","-0.220331961703293","0.528886731703423","-0.173354618122920","0.37754783553853"
"62","0.177789031920316","-0.0579967918729694","0.565774445289331","-0.864728462898278"
"63","-0.381160689648530","-1.06968849479027","0.803949091127195","1.39831180643060"
"64","0.0693116045998893","-0.862143036548764","-0.505294273191577","0.330863553797193"
"65","0.109637853776411","-0.319516665369744","0.743020395784294","-1.07448185146557"
"66","0.90412382279035","1.37053372016242","-0.47940490790816","1.17032191115108"
"67","0.642308319305871","-0.278404147457176","0.841956054581014","1.15506629296977"
"68","-1.14423457894103","0.191289374890035","-0.417038617050138","-0.905996441009963"
"69","2.21400894930081","1.23140374884606","-0.28764032435431","1.39238143392644"
"70","-1.71542547804069","0.226131059799924","-0.141643102384397","0.23541048633587"
"71","-0.419885981003599","0.0879744446276605","-0.136639510597460","-1.02518524170370"
"72","0.688024530380052","0.17812919669271","-1.07314429849222","-0.0417849307257937"
"73","-0.254680186910641","-0.608530084831354","0.97861929277222","-0.385952185500314"
"74","-1.16776690743456","2.6119058651572","-1.29730555486122","-0.587488163340042"
"75","-0.00295678124733786","-0.203147204311501","1.57819580456455","1.85237781009692"
"76","-1.37964978408380","1.80231556035153","-0.342799336048422","-0.742006257400304"
"77","-0.261618827533088","0.371239838876357","-0.451360756439262","-0.258601837068215"
"78","-0.00429742303557788","-0.314368771099088","-0.832887174321763","0.116278734041353"
